month,metro_area,month_count,mean_sent,county_code
3,Chicago,101,0.10010817012547749,17031
3,Dallas,81,0.11326358055078631,48113
3,Houston,110,0.11258714448496046,48201
3,LosAngeles,619,0.09532554056847209,06037
3,NewYork,653,0.13341943638878895,36061
3,Philadelphia,86,0.05839583018725456,42101
3,Phoenix,39,0.22034181096681082,04013
3,SanAntonio,16,0.10448309745623433,48029
3,SanDiego,40,0.13389895232082732,06073
4,Chicago,257,0.14557788080408607,17031
4,Dallas,119,0.10637335979214911,48113
4,Houston,185,0.11604360151547646,48201
4,LosAngeles,1241,0.13463321005673032,06037
4,NewYork,1874,0.10180781198660706,36061
4,Philadelphia,140,0.16559731623473245,42101
4,Phoenix,93,0.10184030606241627,04013
4,SanAntonio,38,0.14944906952513853,48029
4,SanDiego,86,0.12971411713690045,06073
5,Chicago,594,0.1387426804146925,17031
5,Dallas,250,0.17749312610229268,48113
5,Houston,397,0.16224817417930804,48201
5,LosAngeles,2313,0.13748210630619886,06037
5,NewYork,4572,0.060690816373629615,36061
5,Philadelphia,212,0.14334970014246876,42101
5,Phoenix,130,0.17502497860212696,04013
5,SanAntonio,111,0.16086010320385316,48029
5,SanDiego,220,0.18420822316099297,06073
6,Chicago,413,0.12429321664758816,17031
6,Dallas,252,0.11256598678482527,48113
6,Houston,366,0.11189221125663708,48201
6,LosAngeles,1720,0.14695408702687912,06037
6,NewYork,2661,0.12003913450030589,36061
6,Philadelphia,182,0.13468907559867377,42101
6,Phoenix,153,0.16014851086338003,04013
6,SanAntonio,114,0.12180986666081231,48029
6,SanDiego,199,0.16009606512639246,06073
7,Chicago,537,0.13724694075568633,17031
7,Dallas,296,0.17278085665620535,48113
7,Houston,398,0.15003516405230888,48201
7,LosAngeles,2216,0.1565904264883722,06037
7,NewYork,2977,0.12248518295732057,36061
7,Philadelphia,203,0.19605420881807303,42101
7,Phoenix,180,0.16921346335795115,04013
7,SanAntonio,153,0.18080213766202316,48029
7,SanDiego,281,0.1652780049267377,06073
8,Chicago,594,0.11914189801713593,17031
8,Dallas,305,0.17219374631279075,48113
8,Houston,353,0.17920359348285428,48201
8,LosAngeles,2545,0.1549779333811502,06037
8,NewYork,3571,0.11878628613432107,36061
8,Philadelphia,249,0.1356121907362494,42101
8,Phoenix,220,0.1465147366058739,04013
8,SanAntonio,126,0.1795008755115401,48029
8,SanDiego,278,0.15262093966408496,06073
9,Chicago,293,0.1343994312692584,17031
9,Dallas,146,0.22884147819508355,48113
9,Houston,168,0.1829034829946288,48201
9,LosAngeles,1425,0.16062798315829024,06037
9,NewYork,2090,0.11578473123479927,36061
9,Philadelphia,160,0.16439641015812878,42101
9,Phoenix,110,0.1336965889618588,04013
9,SanAntonio,63,0.16411307662795752,48029
9,SanDiego,145,0.165906828944352,06073
10,Chicago,182,0.1300510464238142,17031
10,Dallas,77,0.1260081059512877,48113
10,Houston,126,0.10904663306821036,48201
10,LosAngeles,897,0.14025579532619675,06037
10,NewYork,1350,0.1169576855672297,36061
10,Philadelphia,75,0.13842098414702578,42101
10,Phoenix,88,0.14526024585683672,04013
10,SanAntonio,31,0.10925950751757198,48029
10,SanDiego,73,0.12211753666805036,06073
11,Chicago,198,0.11957192437542807,17031
11,Dallas,97,0.21110798553775353,48113
11,Houston,117,0.20220086724698266,48201
11,LosAngeles,908,0.16208643889787194,06037
11,NewYork,1223,0.12304863196564216,36061
11,Philadelphia,106,0.16085206805036545,42101
11,Phoenix,110,0.09800772130890202,04013
11,SanAntonio,45,0.1594803616522366,48029
11,SanDiego,88,0.18992681994457544,06073
12,Chicago,2,1.8503717077085935e-17,17031
12,Dallas,1,-0.09166666666666601,48113
12,LosAngeles,9,0.14836805555555554,06037
12,NewYork,8,0.18290325126262613,36061
12,SanDiego,1,0.0,06073
